                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2802,                0.84975,                 1.1188,                 0.9676,                 0.8879,                0.93833,                0.55314,                 1.4653,                0.73959,                 1.1677,             0.00066616,             0.00066616,             0.00066616
                      1,                 1.2469,                0.68121,                 1.1371,                0.95635,                0.87356,                0.93138,                0.55812,                  1.453,                0.69917,                 1.1866,              0.0012009,              0.0012009,              0.0012009
                      2,                 1.2137,                0.63994,                 1.1279,                0.95538,                0.90432,                  0.938,                0.56545,                 1.3806,                0.65801,                 1.1499,              0.0016036,              0.0016036,              0.0016036
                      3,                 1.1789,                0.59582,                 1.1246,                0.94786,                0.91229,                0.93776,                0.60192,                 1.3085,                0.59178,                 1.1174,               0.001406,               0.001406,               0.001406
                      4,                 1.1555,                0.57086,                 1.1117,                0.97604,                0.91719,                0.95026,                0.60806,                 1.2917,                0.57792,                 1.1134,               0.001406,               0.001406,               0.001406
                      5,                 1.1236,                0.53719,                 1.1005,                0.97066,                0.92448,                0.95382,                0.61549,                 1.3228,                0.54809,                 1.1239,               0.001208,               0.001208,               0.001208
                      6,                 1.1046,                0.51294,                 1.0895,                 0.9717,                0.92824,                0.95472,                0.63224,                 1.2428,                0.52141,                 1.0844,                0.00101,                0.00101,                0.00101
                      7,                 1.0816,                0.48568,                 1.0834,                0.97838,                0.93395,                0.96539,                0.65847,                 1.1835,                0.49427,                 1.0655,               0.000812,               0.000812,               0.000812
                      8,                 1.0594,                0.45992,                 1.0765,                0.97895,                0.93246,                0.96734,                0.67085,                 1.1625,                0.47831,                  1.054,               0.000614,               0.000614,               0.000614
                      9,                 1.0355,                0.43156,                 1.0673,                0.98369,                0.93762,                0.96993,                0.67692,                 1.1459,                0.45237,                 1.0474,               0.000416,               0.000416,               0.000416
